entity,entityLabel,lat,lng,type,Neolith,Chalcolithic,Eearly Bronze,Middle Bronze,Late Bronze,Early Iron,Late Iron,Helenistic,Roman,Byzantine,Early Muslim,Crusaders,Ottoman,Modern
https://timna-database.wikibase.cloud/entity/Q507,Site_002,34.94863889,29.78372222,Shrine,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q507,Site_002,34.94863889,29.78372222,Pottery_Scatter,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q536,Site_737-002,34.97586111,29.80669444,Stone_Feature,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q519,Site_039-B,34.99382859,29.76343863,Flint_Scatter,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q515,Site_034,34.95115341,29.76906521,Pottery_Scatter,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q523,Site_096,34.95022399,29.7440026,Stone_Feature,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q507,Site_002,34.94863889,29.78372222,Cairn,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q514,Site_030-A,34.94819325,29.77019618,Stone_Feature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q527,Site_250-B,34.99691937,29.79892374,Smelting,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q515,Site_034,34.95115341,29.76906521,Cairn,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q517,Site_034-C,34.95030265,29.77020025,Smelting,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q524,Site_149,35.00285889,29.79250987,Furnace_Smelting,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q515,Site_034,34.95115341,29.76906521,Cultic ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q527,Site_250-B,34.99691937,29.79892374,Flint_Scatter,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q517,Site_034-C,34.95030265,29.77020025,Flint_Scatter,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q527,Site_250-B,34.99691937,29.79892374,Mining_Shaft,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q513,Site_030,34.94792238,29.77098952,Stone_Feature,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q530,Site_266,34.99389573,29.78573004,Smelting,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q527,Site_250-B,34.99691937,29.79892374,Mining,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q519,Site_039-B,34.99382859,29.76343863,Stone_Feature,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q515,Site_034,34.95115341,29.76906521,Smelting,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q507,Site_002,34.94863889,29.78372222,Flint_Scatter,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q518,Site_035,34.95366269,29.76626441,Cultic ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q524,Site_149,35.00285889,29.79250987,Stone_Feature,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q519,Site_039-B,34.99382859,29.76343863,Slag_Scatter,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q515,Site_034,34.95115341,29.76906521,Workshop,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q507,Site_002,34.94863889,29.78372222,Furnace_Smelting,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
